muni_key,year,dept,muni_rel,muni_code,muni_name,agro_strict_bob_mm,p10_agropecuario_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct,area_antropico_ha,area_natural_ha,area_total_ha,antropico_share_pct,natural_share_pct,lc_antrop_1985_kha,lc_antrop_2024_kha,lc_change_antrop_ha,lc_change_antrop_pp,gasto_agrop_por_ha_antrop,gasto_por_ha_natural
ACHACACHI,2020,La Paz,53,1224,Achacachi,0.143107,0.033774,6.85771,63.98625,0.223652737892907,0.0527832151438786,35611.3866238202,35973.4949817012,71584.8816055213,49.7470776302485,50.2529223697515,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,4.01857421368358,3.97812333977544
ACHACACHI,2021,La Paz,53,1224,Achacachi,0.247853,,5.056636,51.291841,0.483221103332984,,33366.8441385949,38218.0374669247,71584.8816055197,46.611579694255,53.388420305745,13.8961161279542,35.3768394819523,21480.7233539981,30.0073463449549,7.42812232917504,6.48523619807796
ACHOCALLA,2012,La Paz,33,1204,Achocalla,0.887989,0.23,3.656757,33.460042,2.65387891623089,0.6873870630527,6520.08297340089,12966.8004614502,19486.8834348511,33.4588288332454,66.5411711667546,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,136.1928987135,68.4817355399241
ACHOCALLA,2013,La Paz,33,1204,Achocalla,0.318743,0.21,2.028743,30.882457,1.03211671273435,0.67999770873153,6702.59155892338,12784.2918759277,19486.8834348511,34.3954002769689,65.6045997230311,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,47.5551877505719,24.9323938387373
ACHOCALLA,2014,La Paz,33,1204,Achocalla,0.424837,0.24,2.448477,38.39614,1.10645757620427,0.625062831836742,6891.18279757077,12595.7006372802,19486.883434851,35.3631858096219,64.6368141903781,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,61.6493586775496,33.7287311150113
ACHOCALLA,2015,La Paz,33,1204,Achocalla,0.301843,0.2,1.846243,50.56687,0.596918496240721,0.39551587828157,6778.37815786129,12708.5052769897,19486.883434851,34.7843111009666,65.2156888990334,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,44.5302685938132,23.75125897351
ACHOCALLA,2016,La Paz,33,1204,Achocalla,0.3,0.2,3.138879,56.892889,0.527306672719679,0.351537781813119,7140.60734816888,12346.2760866821,19486.883434851,36.6431470278022,63.3568529721978,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,42.0132329607693,24.2988248354181
ACHOCALLA,2017,La Paz,33,1204,Achocalla,0.265,0.215,2.28936,61.73845,0.429230082711827,0.348243274652992,7802.13449628899,11684.7489385619,19486.8834348509,40.0378773874916,59.9621226125084,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,33.9650643200325,22.6791351182096
ACHOCALLA,2018,La Paz,33,1204,Achocalla,0.396,0.346,2.71952,66.28982,0.597376791790957,0.521950429191088,8089.48509121085,11397.39834364,19486.8834348508,41.5124620530311,58.4875379469689,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,48.9524358516033,34.7447713996043
ACHOCALLA,2019,La Paz,33,1204,Achocalla,1.573501,0.39352,7.333001,80.024267,1.96627980360008,0.491750833531534,7874.18308651735,11612.7003483336,19486.8834348509,40.4076060332712,59.5923939667288,5.85216036276242,10.3211442199033,4468.98385714087,22.9332918836497,199.830380207217,135.498286600136
