dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,pib_agrop_corriente_mm,pib_agrop_constante_mm,pib_total_corriente_mm,pib_total_constante_mm,pib_agrop_share_pct,ena2015_upas,ena2015_sup_ha,ena2015_sup_exp_ha,ena2015_prod_exp_ton,ena2015_riego_pct,gasto_por_pib_agrop_ratio
LA PAZ,2018,36703662,26323269,792604695,852724060,22949482,3373787,3647.11326047159,82493.5031246108,4.4210915070032,64.4,26.323269,36.703662,792.604695,852.72406,22.949482,3.373787,108.969086910658,6.91,24.1566390490011,33.6826370125434,727.366556397634,782.537583983917,7217.56280105112,3647.11326047159,101.627290657391,,,,,,,,,0.0100637571083422
LA PAZ,2019,141167997,24212946,816384182,995680954,18363949,5848997,3799.36740886138,85781.9338104106,4.42909974174572,57.6,24.212946,141.167997,816.384182,995.680954,18.363949,5.848997,110.973622354616,6.91,21.8186497712291,127.208605076347,735.656063736702,897.22308137181,6372.88879815293,3799.36740886138,105.869872526155,,,,,,,,,0.0371556582474097
LA PAZ,2020,112100110,30314096,809521424,943597412,19512167,10801929,3940.77200145833,72412.7858831526,5.44209417355835,51.7,30.314096,112.10011,809.521424,943.597412,19.512167,10.801929,112.017597999241,6.91,27.061905041211,100.073659855445,722.673435655607,842.365332638533,7692.42574520472,3940.77200145833,109.810130095859,,,,,,,,,0.0284462308295217
LA PAZ,2021,132654725,17611538,663625290,842128215,17611538,,3873.22848705244,82465.1993154792,4.69680364469259,45.2,17.611538,132.654725,663.62529,842.128215,17.611538,,112.843597532049,6.91,15.6070334384705,117.556270715602,588.092992880276,746.279127409798,4546.99175606925,3873.22848705244,107.928021183874,,,,,,,,,0.0342491349125007
ORURO,2012,59211768,19681218,189695333,264575421,8242936,11438282,,,,0,19.681218,59.211768,189.695333,264.575421,8.242936,11.438282,85.9299851602867,6.91,22.9037837761618,68.9069920000001,220.755691562332,307.896504935364,,,,,,,,,,,,
ORURO,2013,37413130,18619666,252440729,309457666,9404384,9215282,,,,0,18.619666,37.41313,252.440729,309.457666,9.404384,9.215282,90.8592730328446,6.91,20.4928626198332,41.1770078619004,277.837055672617,340.590074816177,,,,,,,,,,,,
ORURO,2014,38803632,23324910,317528390,380542407,9342454,13982456,,,,0,23.32491,38.803632,317.52839,380.542407,9.342454,13.982456,96.0987645491769,6.91,24.2718104747995,40.3789082846564,330.418805579452,395.990946174198,,,,,,,,,,,,
ORURO,2015,52316353,29592265,313154427,408261159,12245092,17347173,,,,0,29.592265,52.316353,313.154427,408.261159,12.245092,17.347173,100,6.91,29.592265,52.316353,313.154427,408.261159,,,,,,,631,39436.8452999999,1567494.84549655,3361273.12409052,15.1067961165049,
ORURO,2016,27476468,21380961,231249490,297098551,11940651,9440310,,,,0,21.380961,27.476468,231.24949,297.098551,11.940651,9.44031,103.623214317642,6.91,20.6333697915023,26.5157457051804,223.163787692532,286.710418081886,,,,,,,,,,,,
ORURO,2017,13382287,9506000,129285550,160365245,8061725,1444275,462.595521223165,11883.2449709368,3.89283838172611,0,9.506,13.382287,129.28555,160.365245,8.061725,1.444275,106.548246947132,6.91,8.92177982498088,12.5598378044082,121.339912860463,150.509510569021,20549.269424107,462.595521223165,100,,,,,,,,,0.0289286998815195
ORURO,2018,26969686,11638983,133397010,181688222,6835100,4803883,477.681884402816,12202.0653324169,3.91476255362911,0,11.638983,26.969686,133.39701,181.688222,6.8351,4.803883,108.969086910658,6.91,10.6809952528487,24.7498504067598,122.417296301078,166.733728941826,24365.5524315114,477.681884402816,103.261242810947,,,,,,,,,0.0564595118228457
ORURO,2019,24420187,10879464,147431610,201414623,9014458,1865006,484.784382753908,12330.7615002749,3.93150400924631,0,10.879464,24.420187,147.43161,201.414623,9.014458,1.865006,110.973622354616,6.91,9.80364862312479,22.0053977529591,132.852840947088,181.497745794384,22441.861551309,484.784382753907,104.796601028923,,,,,,,,,0.0503732955696234
ORURO,2020,11236369,9077005,149599214,187138796,8374425,702580,492.405459159327,10709.3391143974,4.59790705943139,0,9.077005,11.236369,149.599214,187.138796,8.374425,0.70258,112.017597999241,6.91,8.10319553545642,10.0308962169285,133.549742783285,167.06196110478,18434.0056170315,492.405459159327,106.444061078962,,,,,,,,,0.0228193428626555
ORURO,2021,19870762,7666987,108769607,149442327,7366933,300054,422.812673947153,12489.7996849506,3.38526385220266,0,7.666987,19.870762,108.769607,149.442327,7.366933,0.300054,112.843597532049,6.91,6.79434825517901,17.6091177830062,96.3897016568512,132.433146645787,18133.2951267168,422.812673947153,91.4000794536832,,,,,,,,,0.046996609194557
PANDO,2012,10635522,10389922,69510352,83981549,3464748,6925174,,,,11.3,10.389922,10.635522,69.510352,83.981549,3.464748,6.925174,85.9299851602867,6.91,12.0911483699427,12.3769624539808,80.8918468568814,97.7325305518763,,,,,,,,,,,,
PANDO,2013,14449144,14329144,111291171,130481628,6886684,7442460,,,,9.8,14.329144,14.449144,111.291171,130.481628,6.886684,7.44246,90.8592730328446,6.91,15.7707006909687,15.9027730661864,122.487410789397,143.608487768587,,,,,,,,,,,,
PANDO,2014,23170385,23170385,73222890,107427146,11108327,12062058,,,,7.3,23.170385,23.170385,73.22289,107.427146,11.108327,12.062058,96.0987645491769,6.91,24.1110123618113,24.1110123618113,76.195454065936,111.788269603639,,,,,,,,,,,,
PANDO,2015,49853290,49853290,99826892,160290003,26499123,23354167,,,,4.7,49.85329,49.85329,99.826892,160.290003,26.499123,23.354167,100,6.91,49.85329,49.85329,99.826892,160.290003,,,,,,,452,148686.558333333,1849849.11270842,1556063.97894313,2.07139709122962,
PANDO,2016,15618000,15518000,48852183,74693489,9229395,6288605,,,,2,15.518,15.618,48.852183,74.693489,9.229395,6.288605,103.623214317642,6.91,14.9754088426864,15.0719123150584,47.1440529245221,72.0818105207951,,,,,,,,,,,,
PANDO,2017,8438169,8438169,33809256,48330716,6928920,1509249,724.915351822938,3285.57839031217,22.0635536793284,38.2,8.438169,8.438169,33.809256,48.330716,6.92892,1.509249,106.548246947132,6.91,7.91957563054693,7.91957563054693,31.7314052260061,45.3604046850074,11640.2128590333,724.915351822938,100,,,,,,,,,0.0116402128590333
PANDO,2018,9997413,9997413,48324652,63872492,8244372,1753041,848.717064469429,3579.32528637268,23.7116494469137,84.2,9.997413,9.997413,48.324652,63.872492,8.244372,1.753041,108.969086910658,6.91,9.17454048981496,9.17454048981496,44.3471202430286,58.6152401665693,11779.4414870754,848.717064469429,117.078092267624,,,,,,,,,0.0117794414870754
PANDO,2019,11878507,11878507,43353539,61350304,11082295,796212,857.444410184262,3753.81576457158,22.8419417456979,97.6,11.878507,11.878507,43.353539,61.350304,11.082295,0.796212,110.973622354616,6.91,10.7039012947079,10.7039012947079,39.0665259726892,55.2836815616916,13853.3843814404,857.444410184262,118.282004654482,,,,,,,,,0.0138533843814404
PANDO,2020,13849679,13849679,41779630,61015181,10919126,2930553,807.210452517225,3001.9981524201,26.8891055734489,88.4,13.849679,13.849679,41.77963,61.015181,10.919126,2.930553,112.017597999241,6.91,12.3638421528141,12.3638421528141,37.2973807207356,54.4692816930546,17157.4574595892,807.210452517225,111.352373830591,,,,,,,,,0.0171574574595892
PANDO,2021,10298991,10298991,27718096,41951087,10298991,,849.117066923362,3573.31803550372,23.7627062155318,88.4,10.298991,10.298991,27.718096,41.951087,10.298991,,112.843597532049,6.91,9.12678364146885,9.12678364146885,24.5632863593592,37.1763112108202,12129.058996914,849.117066923362,117.133271462398,,,,,,,,,0.012129058996914
POTOSÍ,2012,58223129,17320308,71580903,146219256,13285057,4035251,,,,226.7,17.320308,58.223129,71.580903,146.219256,13.285057,4.035251,85.9299851602867,6.91,20.1563027942948,67.7564751016719,83.3014259998753,170.160923136731,,,,,,,,,,,,
POTOSÍ,2013,56418087,14331987,141836640,218499509,12437494,1894493,,,,194.3,14.331987,56.418087,141.83664,218.499509,12.437494,1.894493,90.8592730328446,6.91,15.7738297056583,62.0939229610669,156.105849480798,240.481242812734,,,,,,,,,,,,
POTOSÍ,2014,73455432,14606198,214912288,306971432,11492434,3113764,,,,158.7,14.606198,73.455432,214.912288,306.971432,11.492434,3.113764,96.0987645491769,6.91,15.1991527347113,76.4374363651787,223.636889618932,319.433276213361,,,,,,,,,,,,
POTOSÍ,2015,100032957,21482250,209024594,327363234,13020082,8462168,,,,124.4,21.48225,100.032957,209.024594,327.363234,13.020082,8.462168,100,6.91,21.48225,100.032957,209.024594,327.363234,,,,,,,1075,5939.48790000002,348609.924969638,5472639.43438299,15.9980188211986,
POTOSÍ,2016,51506389,21882789,100321368,173398418,16736447,5146342,,,,90.8,21.882789,51.506389,100.321368,173.398418,16.736447,5.146342,103.623214317642,6.91,21.1176512368372,49.7054538784279,96.8136036510887,167.335494408109,,,,,,,,,,,,
POTOSÍ,2017,49065535,16962660,167271727,236296220,15392855,1569805,877.396872095276,19709.7627619387,4.45158514941443,63.1,16.96266,49.065535,167.271727,236.29622,15.392855,1.569805,106.548246947132,6.91,15.9201680797402,46.0500631458966,156.991533688019,221.773916296575,19332.9387640648,877.396872095276,100,,,,,,,,,0.0559217117822959
POTOSÍ,2018,33735348,15813549,85851067,137627518,15646324,167225,918.543136159603,21614.0929775225,4.24974176392616,44.7,15.813549,33.735348,85.851067,137.627518,15.646324,0.167225,108.969086910658,6.91,14.5119588025595,30.9586406167274,78.7847906538739,126.299597346207,17215.9024192548,918.543136159603,104.689584083662,,,,,,,,,0.0367270155009228
POTOSÍ,2019,59773941,24050036,115394207,197500167,19677141,4372895,972.724838539326,21213.0379502445,4.5855046355023,39.9,24.050036,59.773941,115.394207,197.500167,19.677141,4.372895,110.973622354616,6.91,21.6718491202785,53.8631971559805,103.983455303692,177.970370624552,24724.397945995,972.724838539326,110.86486280905,,,,,,,,,0.0614499996625545
POTOSÍ,2020,23642165,23240165,153245293,196918307,18153108,5087057,979.425908430455,17297.9450219254,5.66209400705702,37.8,23.240165,23.642165,153.245293,196.918307,18.153108,5.087057,112.017597999241,6.91,20.746887466876,21.1057596505151,136.804659033162,175.792295601031,23728.3543348805,979.425908430455,111.628607256318,,,,,,,,,0.0241387988580851
POTOSÍ,2021,38321746,17308394,106125763,156139728,15723665,1584729,943.132535814893,19978.8409974756,4.72065689863622,34.1,17.308394,38.321746,106.125763,156.139728,15.723665,1.584729,112.843597532049,6.91,15.3383925880989,33.9600534174003,94.0467738720036,138.368264939138,18352.027252506,943.132535814893,107.492124238218,,,,,,,,,0.0406324080070983
SANTA CRUZ,2012,45257471,21815709,554971969,637523709,19248876,2566833,,,,209.4,21.815709,45.257471,554.971969,637.523709,19.248876,2.566833,85.9299851602867,6.91,25.3877723350083,52.6678445429502,645.842039847675,741.91064715165,,,,,,,,,,,,
SANTA CRUZ,2013,30288064,23062369,724195278,787749367,20267485,2794884,,,,194.2,23.062369,30.288064,724.195278,787.749367,20.267485,2.794884,90.8592730328446,6.91,25.3825154331393,33.335137943544,797.051587390768,866.999416465986,,,,,,,,,,,,
SANTA CRUZ,2014,36543587,29267921,1170937946,1309287743,27516345,1751576,,,,182.2,29.267921,36.543587,1170.937946,1309.287743,27.516345,1.751576,96.0987645491769,6.91,30.4560845681035,38.027114262535,1218.47346476634,1362.43972452944,,,,,,,,,,,,
SANTA CRUZ,2015,42900571,32126541,1135685206,1291703898,30684541,1442000,,,,170.8,32.126541,42.900571,1135.685206,1291.703898,30.684541,1.442,100,6.91,32.126541,42.900571,1135.685206,1291.703898,,,,,,,3098,1415562.2202347,14522058.331976,276586637.44887,10.9029599100787,
SANTA CRUZ,2016,31273329,26999476,1003551854,1122902545,26934476,65000,,,,166.7,26.999476,31.273329,1003.551854,1122.902545,26.934476,0.065,103.623214317642,6.91,26.0554318622438,30.1798484113185,968.462386163547,1083.63994727852,,,,,,,,,,,,
SANTA CRUZ,2017,21028456,19343812,964743036,1062919981,17085980,2257832,10285.968575922,95419.7196074641,10.7797094963559,164.4,19.343812,21.028456,964.743036,1062.919981,17.08598,2.257832,106.548246947132,6.91,18.1549791331604,19.7360882065325,905.451815156281,997.594997060263,1880.60189540937,10285.968575922,100,,,,,,,,,0.0020443826796462
