municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Ingavi,Pando,539.279911480712,2587.53061417846,540945.360831755,538898.959183282,0.0995924961456453,0.47785691110157,2048.25070269775,379.812164164214,-2046.40164847346,0.378264414955925
Inquisivi,La Paz,7944.45746412971,28784.0833009516,318540.632966269,297701.007128552,2.43332933018678,8.81635460384578,20839.6258368219,262.31653868015,-20839.6258377163,6.383025273659
Irupana,La Paz,5700.54309547123,16179.7849298345,132494.631912694,122015.390078338,4.12499430253945,11.7079231810211,10479.2418343633,183.828832777152,-10479.2418343559,7.58292887848165
Ixiamas,La Paz,1273.58510275879,63021.3812932963,3709541.343373,3647799.81693178,0.0343208426040023,1.69831360571725,61747.7961905375,4848.34472834066,-61741.5264412174,1.66399276311325
Jesús de Machaca,La Paz,41957.2182535472,49392.7462419262,56822.2528148633,49386.7248264687,42.4756457994085,50.0030479083318,7435.52798837908,17.7216896111802,-7435.52798839454,7.52740210892332
La Asunta,La Paz,5461.45917271726,28871.4085119808,276623.948081195,253213.99874188,1.93610127722816,10.2349883296154,23409.9493392635,428.639098067564,-23409.949339315,8.29888705238725
La Guardia,Santa Cruz,26696.4028244204,60674.5266573231,68695.4304580078,34717.3066251089,27.9860465050294,63.6055777203491,33978.1238329027,127.276038110353,-33978.1238328988,35.6195312153197
La Rivera,Oruro,5.75167012329102,1439.44274603274,19843.6367369639,18409.945661054,0.028976560916292,7.25182416964959,1433.69107590945,24926.5177796587,-1433.69107590985,7.22284760873329
Lagunillas,Santa Cruz,6393.60323106677,17770.1131113711,105921.172053485,94544.6621731826,5.69257536674799,15.8217056182945,11376.5098803043,177.935812860976,-11376.5098803028,10.1291302515465
Laja,La Paz,44170.8681426031,51387.3643215261,24932.1237361816,17715.6275572562,63.9203411338315,74.3634434984635,7216.49617892306,16.3376824644357,-7216.49617892544,10.443102364632
Las Carretas,Chuquisaca,1651.56251932372,1767.70243911132,97744.7676520922,97628.6277323054,1.66159305527225,1.77843833475822,116.1399197876,7.03212372699984,-116.139919786787,0.116845279485967
Licoma (Villa Libertad),La Paz,1479.8278081543,2626.62879901124,13468.9271543208,12322.1261634639,9.89933818481217,17.5708867099949,1146.80099085693,77.4955697235657,-1146.80099085695,7.67154852518271
Llallagua,Potosi,1233.08878388668,6667.74520581651,52214.8764796831,46780.220057752,2.30708274450844,12.4752086874323,5434.65642192983,440.735208441346,-5434.65642193105,10.1681259429239
Llica,Potosi,20088.4998306206,27611.3755311944,689827.247579421,682306.473544522,2.82969224543261,3.8893761534723,7522.87570057383,37.4486684620762,-7520.77403489861,1.05968390803969
Loreto,Beni,60535.7650943556,63845.6541611663,475757.800972073,472447.911905255,11.2878037188418,11.904982308376,3309.88906681079,5.46765876610588,-3309.88906681794,0.617178589534239
Luribay,La Paz,977.17003084717,5531.70704148566,49652.0040493442,45097.4670387084,1.93005327185356,10.9259278706062,4554.53701063849,466.094627021039,-4554.53701063572,8.99587459875264
Machacamarca,Oruro,1803.40892149057,3400.05217491457,33461.8269193651,31865.1836659417,5.11384336015491,9.64137086806454,1596.643253424,88.5347318845649,-1596.64325342346,4.52752750790963
