dept,year,actividad,constante_chain2017_mm,corriente_bob_mm
CHUQUISACA,2020,Impuestos netos de subvenciones a los productos,73.3053791747256,744.424316442869
CHUQUISACA,2020,Industrias manufactureras,79.5239307538778,986.190238699883
CHUQUISACA,2020,PRODUCTO  INTERNO  BRUTO(1),91.8304807652227,13961.5868919999
CHUQUISACA,2020,"Suministro de electricidad, agua y recolección de desechos sólidos",93.0184891437053,175.023476972343
CHUQUISACA,2020,Transporte y almacenamiento,73.6212874261927,622.043255415494
CHUQUISACA,2020,VALOR AGREGADO BRUTO,93.0458123223614,13201.4710540034
CHUQUISACA,2021,Actividad extractiva,88.9601061717756,1891.08851728664
CHUQUISACA,2021,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",88.1322628845148,344.326153125591
CHUQUISACA,2021,Actividades de alojamiento y de servicio de comidas y bebidas,86.047860585329,765.628038048839
CHUQUISACA,2021,Actividades de atencion de la salud humana y de asistencia social,144.032267165592,1173.13352157228
CHUQUISACA,2021,Actividades financieras y de seguros,116.170574110753,515.605599733547
CHUQUISACA,2021,"Actividades inmobiliarias, empresariales y de alquiler",103.792777870845,1707.17913734583
CHUQUISACA,2021,Administracion publica,100.677437586401,873.22147768663
CHUQUISACA,2021,"Agricultura, ganaderia, silvicultura y pesca",119.691498216081,1341.39140577529
CHUQUISACA,2021,Comercio; reparacion de vehículos automotores y motocicletas,95.5308867276022,659.307899727
CHUQUISACA,2021,Comunicación e informaciones,93.1595038398182,320.512426742051
CHUQUISACA,2021,Construcción,55.6093616260335,830.082233134604
CHUQUISACA,2021,Enseñanza,98.1487069240067,1070.43771996943
CHUQUISACA,2021,Impuestos netos de subvenciones a los productos,83.4096197795084,847.034008802023
CHUQUISACA,2021,Industrias manufactureras,83.0832729371198,1030.33026653842
CHUQUISACA,2021,PRODUCTO  INTERNO  BRUTO(1),94.4031579327082,14352.7277802932
CHUQUISACA,2021,"Suministro de electricidad, agua y recolección de desechos sólidos",101.191136037929,190.401119510531
CHUQUISACA,2021,Transporte y almacenamiento,86.7828360858428,733.248218827278
CHUQUISACA,2021,VALOR AGREGADO BRUTO,95.1670527287202,13502.4356339687
COCHABAMBA,2017,Actividad extractiva,100,915.708836877821
COCHABAMBA,2017,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100,1706.35572104524
COCHABAMBA,2017,Actividades de alojamiento y de servicio de comidas y bebidas,100,2373.75087732487
COCHABAMBA,2017,Actividades de atencion de la salud humana y de asistencia social,100,1578.09284608958
COCHABAMBA,2017,Actividades financieras y de seguros,100,2302.87766163066
COCHABAMBA,2017,"Actividades inmobiliarias, empresariales y de alquiler",100,6083.59897531309
COCHABAMBA,2017,Administracion publica,100,1183.65204602536
COCHABAMBA,2017,"Agricultura, ganaderia, silvicultura y pesca",100,4952.51052761756
COCHABAMBA,2017,Comercio; reparacion de vehículos automotores y motocicletas,100,5666.3967760868
COCHABAMBA,2017,Comunicación e informaciones,100,1380.99963149446
COCHABAMBA,2017,Construcción,100,4105.90519174965
COCHABAMBA,2017,Enseñanza,100,3751.51459239292
COCHABAMBA,2017,Impuestos netos de subvenciones a los productos,100,7431.64003634857
COCHABAMBA,2017,Industrias manufactureras,100,8026.56623805538
COCHABAMBA,2017,PRODUCTO  INTERNO  BRUTO(1),100,55345.8566578135
COCHABAMBA,2017,"Suministro de electricidad, agua y recolección de desechos sólidos",100,999.126958612302
COCHABAMBA,2017,Transporte y almacenamiento,100,2887.15974114923
COCHABAMBA,2017,VALOR AGREGADO BRUTO,100,47914.2166214649
COCHABAMBA,2018,Actividad extractiva,105.770797384015,968.552538481564
COCHABAMBA,2018,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",89.8284668075438,1532.79318249775
COCHABAMBA,2018,Actividades de alojamiento y de servicio de comidas y bebidas,103.967800621933,2467.9365793985
COCHABAMBA,2018,Actividades de atencion de la salud humana y de asistencia social,106.411148530354,1679.26672239927
COCHABAMBA,2018,Actividades financieras y de seguros,103.7608336577,2389.48505982492
COCHABAMBA,2018,"Actividades inmobiliarias, empresariales y de alquiler",108.242876582992,6585.06253065232
COCHABAMBA,2018,Administracion publica,99.587804273952,1178.77308288036
COCHABAMBA,2018,"Agricultura, ganaderia, silvicultura y pesca",100.969214159883,5000.51096092093
COCHABAMBA,2018,Comercio; reparacion de vehículos automotores y motocicletas,100.535991270393,5696.76816815243
COCHABAMBA,2018,Comunicación e informaciones,104.278837691853,1440.0903642512
COCHABAMBA,2018,Construcción,110.512044926243,4537.51979013531
COCHABAMBA,2018,Enseñanza,106.916988638793,4011.00643053139
COCHABAMBA,2018,Impuestos netos de subvenciones a los productos,107.929960637219,8020.96616593084
COCHABAMBA,2018,Industrias manufactureras,97.1685031988367,7799.2942717816
COCHABAMBA,2018,PRODUCTO  INTERNO  BRUTO(1),104.049487022101,57587.0799404421
COCHABAMBA,2018,"Suministro de electricidad, agua y recolección de desechos sólidos",113.121524368856,1130.22764596242
COCHABAMBA,2018,Transporte y almacenamiento,109.0631183915,3148.8264466413
COCHABAMBA,2018,VALOR AGREGADO BRUTO,103.447613818038,49566.1137745113
COCHABAMBA,2019,Actividad extractiva,92.5862066191244,847.82007574128
COCHABAMBA,2019,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",91.371225469355,1559.11813318548
COCHABAMBA,2019,Actividades de alojamiento y de servicio de comidas y bebidas,105.25778233804,2498.55753170192
COCHABAMBA,2019,Actividades de atencion de la salud humana y de asistencia social,112.916392362184,1781.92550993007
COCHABAMBA,2019,Actividades financieras y de seguros,101.133427986412,2328.97912154041
COCHABAMBA,2019,"Actividades inmobiliarias, empresariales y de alquiler",104.177669704459,6337.75164664552
COCHABAMBA,2019,Administracion publica,97.1885125431846,1150.37381721901
COCHABAMBA,2019,"Agricultura, ganaderia, silvicultura y pesca",103.199195060406,5110.95099978317
COCHABAMBA,2019,Comercio; reparacion de vehículos automotores y motocicletas,102.335306839481,5798.72452755089
COCHABAMBA,2019,Comunicación e informaciones,103.708614893968,1432.21558951371
COCHABAMBA,2019,Construcción,110.590923156385,4540.75845548188
COCHABAMBA,2019,Enseñanza,103.877584870091,3896.98275462681
COCHABAMBA,2019,Impuestos netos de subvenciones a los productos,101.481500489327,7541.73981985207
COCHABAMBA,2019,Industrias manufactureras,101.197857597663,8122.71307156937
COCHABAMBA,2019,PRODUCTO  INTERNO  BRUTO(1),103.589753836166,57332.6366703464
COCHABAMBA,2019,"Suministro de electricidad, agua y recolección de desechos sólidos",123.35515739879,1232.47463240995
COCHABAMBA,2019,Transporte y almacenamiento,106.497010647558,3074.73881694369
COCHABAMBA,2019,VALOR AGREGADO BRUTO,103.722357230699,49697.7549284067
COCHABAMBA,2020,Actividad extractiva,81.0779758733777,742.438189834187
COCHABAMBA,2020,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",57.0251215278769,973.051423623927
COCHABAMBA,2020,Actividades de alojamiento y de servicio de comidas y bebidas,77.2708489348573,1834.21745450755
COCHABAMBA,2020,Actividades de atencion de la salud humana y de asistencia social,124.307386675007,1961.68597627919
COCHABAMBA,2020,Actividades financieras y de seguros,96.1575097079687,2214.38981104514
COCHABAMBA,2020,"Actividades inmobiliarias, empresariales y de alquiler",96.3598913431595,5862.14936236526
COCHABAMBA,2020,Administracion publica,85.6464274515976,1013.75569087846
COCHABAMBA,2020,"Agricultura, ganaderia, silvicultura y pesca",110.588466722185,5476.90545674703
COCHABAMBA,2020,Comercio; reparacion de vehículos automotores y motocicletas,79.169278278036,4486.04543199782
COCHABAMBA,2020,Comunicación e informaciones,102.152137759301,1410.72064601966
COCHABAMBA,2020,Construcción,90.000837831164,3695.34907312795
COCHABAMBA,2020,Enseñanza,102.669025937751,3851.64348992242
COCHABAMBA,2020,Impuestos netos de subvenciones a los productos,90.1721822021614,6701.27199418501
COCHABAMBA,2020,Industrias manufactureras,87.5028841401274,7023.47695571619
COCHABAMBA,2020,PRODUCTO  INTERNO  BRUTO(1),91.6258590354349,50711.1166032421
COCHABAMBA,2020,"Suministro de electricidad, agua y recolección de desechos sólidos",119.78723580899,1196.8265659441
COCHABAMBA,2020,Transporte y almacenamiento,74.7667785795136,2158.63633090191
COCHABAMBA,2020,VALOR AGREGADO BRUTO,91.7027339252914,43938.6465807697
COCHABAMBA,2021,Actividad extractiva,73.382363908245,671.96879101764
COCHABAMBA,2021,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",67.6613510711949,1154.54333493984
COCHABAMBA,2021,Actividades de alojamiento y de servicio de comidas y bebidas,92.6045556989414,2198.20145334642
COCHABAMBA,2021,Actividades de atencion de la salud humana y de asistencia social,130.921331005335,2066.06015860045
COCHABAMBA,2021,Actividades financieras y de seguros,95.2891957111984,2194.39360198071
COCHABAMBA,2021,"Actividades inmobiliarias, empresariales y de alquiler",101.687251263569,6186.24457589454
COCHABAMBA,2021,Administracion publica,96.3586626292523,1140.55128173381
COCHABAMBA,2021,"Agricultura, ganaderia, silvicultura y pesca",114.471219418662,5669.19919280144
COCHABAMBA,2021,Comercio; reparacion de vehículos automotores y motocicletas,92.7387637558592,5254.94631964476
COCHABAMBA,2021,Comunicación e informaciones,103.837488291813,1433.99533066304
COCHABAMBA,2021,Construcción,104.313397604565,4283.00920793627
COCHABAMBA,2021,Enseñanza,103.353879882531,3877.33588559741
COCHABAMBA,2021,Impuestos netos de subvenciones a los productos,91.3697315209993,6790.26954881879
COCHABAMBA,2021,Industrias manufactureras,93.0329297048384,7467.34972596236
COCHABAMBA,2021,PRODUCTO  INTERNO  BRUTO(1),98.8196821412724,54692.5996276155
COCHABAMBA,2021,"Suministro de electricidad, agua y recolección de desechos sólidos",126.744631593724,1266.33978284674
COCHABAMBA,2021,Transporte y almacenamiento,92.863502013286,2681.1176443489
COCHABAMBA,2021,VALOR AGREGADO BRUTO,99.4937495524722,47671.6506853893
LA PAZ,2017,Actividad extractiva,100,5013.63598530828
LA PAZ,2017,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",100,2646.32038619845
LA PAZ,2017,Actividades de alojamiento y de servicio de comidas y bebidas,100,3927.81994104774
