dept,muni_rel,muni_code,muni_name,year,agro_strict_bob,p10_agropecuario_bob,p12_microriegos_bob,p18_caminos_vecinales_bob,p32_recursos_hidricos_bob,rural_infra_bob,rural_total_bob,total_presupuesto_bob,agro_strict_bob_mm,p10_agropecuario_bob_mm,p12_microriegos_bob_mm,p18_caminos_vecinales_bob_mm,p32_recursos_hidricos_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct
Beni,310,1809,Santa Rosa,2018,1216146,1216146,,,,1241421,2457567,19193492,1.216146,1.216146,,,,1.241421,2.457567,19.193492,6.3362414718489,6.3362414718489
Beni,310,1809,Santa Rosa,2019,101068,101068,,1e+05,,3325005,3676073,29730307,0.101068,0.101068,,0.1,,3.325005,3.676073,29.730307,0.339949399109804,0.339949399109804
Beni,310,1809,Santa Rosa,2020,380637,380637,,80000,,3891754,4522391,34547723,0.380637,0.380637,,0.08,,3.891754,4.522391,34.547723,1.10177159866658,1.10177159866658
Beni,310,1809,Santa Rosa,2021,1e+05,1e+05,,80000,,3728736,4078736,26109108,0.1,0.1,,0.08,,3.728736,4.078736,26.109108,0.383008105830349,0.383008105830349
Beni,311,1810,Santa Ana,2012,2408568,2408568,,,,6943722,43442064,73204826,2.408568,2.408568,,,,6.943722,43.442064,73.204826,3.29017652470071,3.29017652470071
Beni,311,1810,Santa Ana,2013,617713,617713,,,,10904385,54557972,90303306,0.617713,0.617713,,,,10.904385,54.557972,90.303306,0.684042508919884,0.684042508919884
Beni,311,1810,Santa Ana,2014,1030114,1030114,,,,5085523,34882242,64422062,1.030114,1.030114,,,,5.085523,34.882242,64.422062,1.59900811619473,1.59900811619473
Beni,311,1810,Santa Ana,2015,1980393,1980393,,,,7009731,51097936,88902638,1.980393,1.980393,,,,7.009731,51.097936,88.902638,2.22759756577752,2.22759756577752
Beni,311,1810,Santa Ana,2016,1891147,1891147,,150000,,10831165,51818307,81770208,1.891147,1.891147,,0.15,,10.831165,51.818307,81.770208,2.31275796681354,2.31275796681354
Beni,311,1810,Santa Ana,2017,552972,552972,,66871,,8117131,35104048,52745109,0.552972,0.552972,,0.066871,,8.117131,35.104048,52.745109,1.04838535834669,1.04838535834669
Beni,311,1810,Santa Ana,2018,865100,865100,,,,7719781,45920293,75643683,0.8651,0.8651,,,,7.719781,45.920293,75.643683,1.14365134759501,1.14365134759501
