destino,dept,year,deuda_mm_bob
OTROS,Santa Cruz,2017,14.4
OTROS,Tarija,2017,253.8
AGROPECUARIO,Beni,2018,0.8
AGROPECUARIO,Potosí,2018,42
AGROPECUARIO,Santa Cruz,2018,0
CAMINOS,Beni,2018,23.4
CAMINOS,Chuquisaca,2018,0
CAMINOS,Cochabamba,2018,43.2
CAMINOS,La Paz,2018,64.4
CAMINOS,Pando,2018,84.2
CAMINOS,Potosí,2018,2.7
CAMINOS,Santa Cruz,2018,1.5
ELECTRIFICACIÓN,Beni,2018,5.1
ELECTRIFICACIÓN,Chuquisaca,2018,151.2
ELECTRIFICACIÓN,Cochabamba,2018,82.3
ELECTRIFICACIÓN,La Paz,2018,47.2
ELECTRIFICACIÓN,Pando,2018,3.7
ELECTRIFICACIÓN,Potosí,2018,10.4
ELECTRIFICACIÓN,Santa Cruz,2018,231.9
FORTALECIMIENTO,Cochabamba,2018,31.8
FORTALECIMIENTO,La Paz,2018,63.8
FORTALECIMIENTO,Oruro,2018,2.1
FORTALECIMIENTO,Pando,2018,0
FORTALECIMIENTO,Potosí,2018,0
FORTALECIMIENTO,Santa Cruz,2018,673.6
RIEGO,Chuquisaca,2018,147
RIEGO,Cochabamba,2018,103.7
RIEGO,La Paz,2018,0
RIEGO,Oruro,2018,0
RIEGO,Potosí,2018,0
RIEGO,Santa Cruz,2018,151.8
RIEGO,Tarija,2018,155.2
SEGURIDAD SOCIAL,Beni,2018,113.1
SEGURIDAD SOCIAL,Chuquisaca,2018,13
SEGURIDAD SOCIAL,Cochabamba,2018,0
SEGURIDAD SOCIAL,La Paz,2018,21.8
SEGURIDAD SOCIAL,Oruro,2018,3.1
