dept,year,area_ha_antropico,area_ha_natural,area_ha_no_definido
Potosi,2003,371132.814760365,11575276.493028,818.741787951664
Potosi,2004,362220.778038461,11584190.845266,816.426271484379
Potosi,2005,362401.036904043,11584022.1292509,804.883421154789
Potosi,2006,360493.806440311,11585927.6116398,806.631496264652
Potosi,2007,367639.954555319,11578780.5548377,807.540183270268
Potosi,2008,366082.783909433,11580346.6160409,798.649625933842
Potosi,2009,367259.3555585,11579181.4337825,787.260235174567
Potosi,2010,375564.319705684,11570843.9096156,819.820255023197
Potosi,2011,389255.274358144,11557223.7099428,749.065275402834
Potosi,2012,387453.492370131,11558999.5274566,775.029749530033
Potosi,2013,384041.26105588,11562372.7012701,814.087250372319
Potosi,2014,395264.882754769,11551156.8750623,806.291759240727
Potosi,2015,431066.696345369,11515353.6533391,807.699891809087
Potosi,2016,435245.671710846,11511173.515639,808.862226440434
Potosi,2017,442280.820694226,11504138.6185193,808.610362823491
Potosi,2018,455508.736476501,11490912.783044,806.530055847172
Potosi,2019,465968.345444717,11480459.0025191,800.701612554936
Potosi,2020,478301.945639933,11468129.8788101,796.225126330571
Potosi,2021,488221.080087505,11458230.9516306,776.01785830079
Potosi,2022,485923.294072508,11460520.2451427,784.510361071783
Potosi,2023,485092.173982415,11461333.241726,802.633867919925
Potosi,2024,619267.784681177,11327153.0356618,0
Santa Cruz,1985,1131779.06366633,35684119.2076958,11.5215325683594
Santa Cruz,1986,1177286.93972809,35638611.7656649,11.087503112793
Santa Cruz,1987,1227984.65479298,35587913.6945877,11.4435128967285
Santa Cruz,1988,1270801.7643078,35545096.7628261,11.350284173584
Santa Cruz,1989,1324605.74737829,35491292.1609387,11.9690998779297
Santa Cruz,1990,1421328.94068953,35394569.0589955,11.8777317504883
Santa Cruz,1991,1518235.78705722,35297661.864106,12.2262547973633
Santa Cruz,1992,1623726.81592374,35192169.8035908,13.2578978759766
Santa Cruz,1993,1687450.59915199,35128446.3694915,12.9087733520508
Santa Cruz,1994,1845019.64177494,34970878.0143301,12.2213130493164
Santa Cruz,1995,1999108.61373631,34816789.2298621,12.0338197631836
Santa Cruz,1996,2216909.38593771,34598987.4334919,13.057987298584
Santa Cruz,1997,2356995.28036957,34458902.6544415,11.9426071044922
Santa Cruz,1998,2523738.0485986,34292160.1496992,11.6791202331543
Santa Cruz,1999,2619090.76352768,34196807.1823664,11.9315242553711
Santa Cruz,2000,2720796.4112176,34095102.0260703,11.4401264770508
Santa Cruz,2001,2831335.40809582,33984563.0266865,11.4426347106934
Santa Cruz,2002,2921228.8662732,33894670.2610484,10.7500967529297
Santa Cruz,2003,3064230.57571959,33751669.2319968,10.0697020080566
Santa Cruz,2004,3220728.96815341,33595168.5161508,12.3931143005371
Santa Cruz,2005,3327566.16400925,33488331.6622509,12.0511563171387
Santa Cruz,2006,3438843.44785731,33377052.7352763,13.6942835327148
Santa Cruz,2007,3537593.14500066,33278305.2752109,11.4572066589355
Santa Cruz,2008,3776193.32122603,33039703.9818477,12.5743445007324
Santa Cruz,2009,3848185.99268411,32967711.6594808,12.2252533752441
Santa Cruz,2010,3978580.18867299,32837317.726547,11.9621982788086
Santa Cruz,2011,4155035.39271725,32660862.2685138,12.2161873840332
Santa Cruz,2012,4298938.25425784,32516958.7227506,12.9004096435547
Santa Cruz,2013,4411723.46887193,32404175.3103633,11.0981815307617
Santa Cruz,2014,4498250.45894319,32317647.9762161,11.4422587585449
Santa Cruz,2015,4629419.14043294,32186479.722661,11.0143242126465
Santa Cruz,2016,4844731.21205161,31971166.7142923,11.9510742431641
Santa Cruz,2017,5042184.33830696,31773713.8443067,11.6948045776367
Santa Cruz,2018,5242132.72240418,31573765.1185045,12.036508013916
Santa Cruz,2019,5414423.03006817,31401474.6375347,12.2098155212402
Santa Cruz,2020,5619018.93960348,31196878.9765422,11.8759002319336
Santa Cruz,2021,5956645.6506795,30859250.9041497,13.2372194274902
Santa Cruz,2022,6255657.872903,30560251.9191469,0
Santa Cruz,2023,6678894.67752268,30137015.1145247,0
Santa Cruz,2024,7195575.67533457,29620334.9697136,0
Tarija,1985,122211.239944122,3593333.54537003,1.32616173706055
Tarija,1986,123400.264008355,3592144.52173118,1.40851079711914
Tarija,1987,127282.986431732,3588261.3851771,1.82264189453125
Tarija,1988,130812.594392089,3584732.27335261,1.32650601806641
Tarija,1989,131046.486228534,3584498.29782504,1.4101971496582
Tarija,1990,132683.368116156,3582861.08543319,1.74070137329102
Tarija,1991,135534.101200207,3580009.77353764,2.31951284179688
Tarija,1992,137177.001057177,3578367.70073848,1.49245506591797
Tarija,1993,138891.703594391,3576653.66217871,0.828477526855469
Tarija,1994,138530.238366235,3577014.79686733,1.15901712646484
Tarija,1995,136176.584116864,3579368.86648204,0.743651806640625
Tarija,1996,137462.037538275,3578083.16331849,0.993393365478516
Tarija,1997,139827.275388806,3575717.43082877,1.48803309936523
Tarija,1998,144274.005420947,3571270.11699126,2.07183851928711
Tarija,1999,147979.087053345,3567564.95316197,2.15403539428711
Tarija,2000,154531.731788977,3561012.63870137,1.82376032104492
Tarija,2001,160960.126590807,3554584.90619206,1.16146771240234
Tarija,2002,167652.103524291,3547892.76375801,1.32696834716797
Tarija,2003,169104.688728318,3546439.26612994,2.23939241943359
Tarija,2004,171893.632003536,3543650.32324642,2.23900070800781
Tarija,2005,175861.734640725,3539682.30456874,2.15504100341797
Tarija,2006,187247.156578194,3528297.54791133,1.48976114501953
Tarija,2007,193653.093473299,3521891.44220215,1.65857523193359
Tarija,2008,204012.997694559,3511530.38084517,2.81571094970703
Tarija,2009,210256.913622263,3505285.55118839,3.72943980102539
Tarija,2010,214450.975164519,3501091.98597378,3.23311237792969
Tarija,2011,215954.592426603,3499588.11986756,3.48195648193359
Tarija,2012,217703.085688695,3497840.20873678,2.89982515258789
Tarija,2013,229973.705466881,3485567.51905493,4.96972885742188
Tarija,2014,233917.6697776,3481625.71040341,2.81406965332031
Tarija,2015,237803.841478442,3477739.1255906,3.22718162231445
Tarija,2016,243249.284516363,3472294.01371438,2.89601988525391
Tarija,2017,251793.607882379,3463750.10314373,2.48322451782227
Tarija,2018,261538.675214802,3454004.70260361,2.81643221435547
Tarija,2019,275885.363206782,3439657.84831754,2.98272633056641
Tarija,2020,288479.528967122,3427064.75977707,1.90550645751953
Tarija,2021,301894.916691775,3413648.70893255,2.56862624511719
Tarija,2022,318302.444540596,3397243.74971011,0
Tarija,2023,301873.81830863,3413672.37594198,0
Tarija,2024,334082.89596394,3381463.38128159,0
