dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,superficie_total_ha,produccion_total_ton,rend_cereales_kg_ha,prod_arroz_ton,prod_maiz_ton,prod_papa_ton,prod_trigo_ton
PANDO,2012,10635522,10389922,69510352,83981549,3464748,6925174,,,,11.3,10.389922,10.635522,69.510352,83.981549,3.464748,6.925174,85.9299851602867,6.91,12.0911483699427,12.3769624539808,80.8918468568814,97.7325305518763,,14259.8205870647,82325,1642,3045,4402,0,0
PANDO,2013,14449144,14329144,111291171,130481628,6886684,7442460,,,,9.8,14.329144,14.449144,111.291171,130.481628,6.886684,7.44246,90.8592730328446,6.91,15.7707006909687,15.9027730661864,122.487410789397,143.608487768587,,14400.176183329,85425,1648,3111,4268,0,0
PANDO,2014,23170385,23170385,73222890,107427146,11108327,12062058,,,,7.3,23.170385,23.170385,73.22289,107.427146,11.108327,12.062058,96.0987645491769,6.91,24.1110123618113,24.1110123618113,76.195454065936,111.788269603639,,14754.6910575356,86971,1681.5,3245,4851,0,0
PANDO,2015,49853290,49853290,99826892,160290003,26499123,23354167,,,,4.7,49.85329,49.85329,99.826892,160.290003,26.499123,23.354167,100,6.91,49.85329,49.85329,99.826892,160.290003,,15102.8728123699,88763,1727.5,3407,5500,0,0
PANDO,2016,15618000,15518000,48852183,74693489,9229395,6288605,,,,2,15.518,15.618,48.852183,74.693489,9.229395,6.288605,103.623214317642,6.91,14.9754088426864,15.0719123150584,47.1440529245221,72.0818105207951,,15269.5083721503,90816,1745,3489,5566,0,0
PANDO,2017,8438169,8438169,33809256,48330716,6928920,1509249,724.915351822938,3285.57839031217,22.0635536793284,38.2,8.438169,8.438169,33.809256,48.330716,6.92892,1.509249,106.548246947132,6.91,7.91957563054693,7.91957563054693,31.7314052260061,45.3604046850074,11640.2128590333,15658.3033145975,93955,1729,3661,5718,0,0
PANDO,2018,9997413,9997413,48324652,63872492,8244372,1753041,848.717064469429,3579.32528637268,23.7116494469137,84.2,9.997413,9.997413,48.324652,63.872492,8.244372,1.753041,108.969086910658,6.91,9.17454048981496,9.17454048981496,44.3471202430286,58.6152401665693,11779.4414870754,15695.8637101131,94544,1762.5,3839,5752,0,0
PANDO,2019,11878507,11878507,43353539,61350304,11082295,796212,857.444410184262,3753.81576457158,22.8419417456979,97.6,11.878507,11.878507,43.353539,61.350304,11.082295,0.796212,110.973622354616,6.91,10.7039012947079,10.7039012947079,39.0665259726892,55.2836815616916,13853.3843814404,15659.0304869771,96317,1832.60034687214,3954,5423,0,0
PANDO,2020,13849679,13849679,41779630,61015181,10919126,2930553,807.210452517225,3001.9981524201,26.8891055734489,88.4,13.849679,13.849679,41.77963,61.015181,10.919126,2.930553,112.017597999241,6.91,12.3638421528141,12.3638421528141,37.2973807207356,54.4692816930546,17157.4574595892,15477.6797301547,93457.3713838319,1773.28742918267,3715.15300629429,5564.51514536144,0,0
POTOSÍ,2012,58223129,17320308,71580903,146219256,13285057,4035251,,,,226.7,17.320308,58.223129,71.580903,146.219256,13.285057,4.035251,85.9299851602867,6.91,20.1563027942948,67.7564751016719,83.3014259998753,170.160923136731,,189021,445808,953,0,24228,0,0
POTOSÍ,2013,56418087,14331987,141836640,218499509,12437494,1894493,,,,194.3,14.331987,56.418087,141.83664,218.499509,12.437494,1.894493,90.8592730328446,6.91,15.7738297056583,62.0939229610669,156.105849480798,240.481242812734,,192839.293,455725,953.666666666667,0,24811,0,0
POTOSÍ,2014,73455432,14606198,214912288,306971432,11492434,3113764,,,,158.7,14.606198,73.455432,214.912288,306.971432,11.492434,3.113764,96.0987645491769,6.91,15.1991527347113,76.4374363651787,223.636889618932,319.433276213361,,191802.2948,456108,1017.66666666667,0,25154,0,0
POTOSÍ,2015,100032957,21482250,209024594,327363234,13020082,8462168,,,,124.4,21.48225,100.032957,209.024594,327.363234,13.020082,8.462168,100,6.91,21.48225,100.032957,209.024594,327.363234,,195206.295,387546,1026,0,24733,0,0
POTOSÍ,2016,51506389,21882789,100321368,173398418,16736447,5146342,,,,90.8,21.882789,51.506389,100.321368,173.398418,16.736447,5.146342,103.623214317642,6.91,21.1176512368372,49.7054538784279,96.8136036510887,167.335494408109,,187900,390509,1006.66666666667,0,19808,0,0
POTOSÍ,2017,49065535,16962660,167271727,236296220,15392855,1569805,877.396872095276,19709.7627619387,4.45158514941443,63.1,16.96266,49.065535,167.271727,236.29622,15.392855,1.569805,106.548246947132,6.91,15.9201680797402,46.0500631458966,156.991533688019,221.773916296575,19332.9387640648,187071,395879,1047.66666666667,0,25735,0,0
POTOSÍ,2018,33735348,15813549,85851067,137627518,15646324,167225,918.543136159603,21614.0929775225,4.24974176392616,44.7,15.813549,33.735348,85.851067,137.627518,15.646324,0.167225,108.969086910658,6.91,14.5119588025595,30.9586406167274,78.7847906538739,126.299597346207,17215.9024192548,189913,417411,1070.66666666667,0,27783,0,0
